Sequence,J-Mean,F-Mean
bike-packing_1,0.283,0.526
bike-packing_2,0.543,0.636
blackswan_1,0.889,0.921
bmx-trees_1,0.061,0.311
bmx-trees_2,0.340,0.460
breakdance_1,0.663,0.661
camel_1,0.733,0.763
car-roundabout_1,0.855,0.668
car-shadow_1,0.683,0.581
cows_1,0.857,0.817
dance-twirl_1,0.390,0.480
dog_1,0.871,0.826
dogs-jump_1,0.125,0.246
dogs-jump_2,0.545,0.517
dogs-jump_3,0.641,0.729
drift-chicane_1,0.365,0.468
drift-straight_1,0.365,0.304
goat_1,0.732,0.613
gold-fish_1,0.642,0.554
gold-fish_2,0.389,0.355
gold-fish_3,0.595,0.500
gold-fish_4,0.695,0.647
gold-fish_5,0.797,0.703
horsejump-high_1,0.639,0.701
horsejump-high_2,0.211,0.475
india_1,0.561,0.450
india_2,0.426,0.343
india_3,0.521,0.396
judo_1,0.676,0.680
judo_2,0.581,0.557
kite-surf_1,0.149,0.091
kite-surf_2,0.000,0.000
kite-surf_3,0.367,0.535
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.405,0.388
lab-coat_4,0.437,0.369
lab-coat_5,0.342,0.346
libby_1,0.557,0.632
loading_1,0.624,0.532
loading_2,0.164,0.244
loading_3,0.532,0.556
mbike-trick_1,0.224,0.549
mbike-trick_2,0.552,0.573
motocross-jump_1,0.172,0.223
motocross-jump_2,0.081,0.138
paragliding-launch_1,0.702,0.757
paragliding-launch_2,0.214,0.511
paragliding-launch_3,0.010,0.041
parkour_1,0.610,0.611
pigs_1,0.470,0.586
pigs_2,0.379,0.534
pigs_3,0.865,0.748
scooter-black_1,0.123,0.218
scooter-black_2,0.180,0.295
shooting_1,0.110,0.227
shooting_2,0.619,0.560
shooting_3,0.674,0.855
soapbox_1,0.502,0.516
soapbox_2,0.066,0.322
soapbox_3,0.229,0.316
