Sequence,J-Mean,F-Mean
bike-packing_1,0.272,0.478
bike-packing_2,0.627,0.703
blackswan_1,0.885,0.913
bmx-trees_1,0.064,0.315
bmx-trees_2,0.337,0.462
breakdance_1,0.687,0.693
camel_1,0.747,0.781
car-roundabout_1,0.821,0.702
car-shadow_1,0.772,0.677
cows_1,0.853,0.809
dance-twirl_1,0.459,0.480
dog_1,0.885,0.875
dogs-jump_1,0.163,0.261
dogs-jump_2,0.498,0.527
dogs-jump_3,0.661,0.765
drift-chicane_1,0.366,0.454
drift-straight_1,0.489,0.391
goat_1,0.793,0.746
gold-fish_1,0.675,0.586
gold-fish_2,0.415,0.367
gold-fish_3,0.648,0.565
gold-fish_4,0.738,0.701
gold-fish_5,0.809,0.718
horsejump-high_1,0.649,0.703
horsejump-high_2,0.293,0.535
india_1,0.565,0.453
india_2,0.435,0.357
india_3,0.469,0.361
judo_1,0.662,0.664
judo_2,0.627,0.604
kite-surf_1,0.164,0.101
kite-surf_2,0.000,0.005
kite-surf_3,0.374,0.536
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.471,0.422
lab-coat_4,0.471,0.433
lab-coat_5,0.362,0.363
libby_1,0.581,0.663
loading_1,0.703,0.583
loading_2,0.200,0.303
loading_3,0.556,0.587
mbike-trick_1,0.360,0.639
mbike-trick_2,0.594,0.616
motocross-jump_1,0.236,0.283
motocross-jump_2,0.262,0.299
paragliding-launch_1,0.725,0.777
paragliding-launch_2,0.274,0.559
paragliding-launch_3,0.014,0.054
parkour_1,0.691,0.692
pigs_1,0.563,0.631
pigs_2,0.425,0.552
pigs_3,0.884,0.776
scooter-black_1,0.156,0.288
scooter-black_2,0.306,0.412
shooting_1,0.138,0.259
shooting_2,0.680,0.642
shooting_3,0.730,0.902
soapbox_1,0.427,0.492
soapbox_2,0.091,0.336
soapbox_3,0.275,0.372
