Sequence,J-Mean,F-Mean
bike-packing_1,0.300,0.558
bike-packing_2,0.528,0.632
blackswan_1,0.884,0.913
bmx-trees_1,0.056,0.295
bmx-trees_2,0.324,0.455
breakdance_1,0.658,0.666
camel_1,0.743,0.776
car-roundabout_1,0.819,0.641
car-shadow_1,0.709,0.613
cows_1,0.846,0.787
dance-twirl_1,0.387,0.460
dog_1,0.864,0.825
dogs-jump_1,0.116,0.210
dogs-jump_2,0.502,0.457
dogs-jump_3,0.651,0.747
drift-chicane_1,0.358,0.465
drift-straight_1,0.391,0.319
goat_1,0.729,0.602
gold-fish_1,0.643,0.557
gold-fish_2,0.383,0.354
gold-fish_3,0.580,0.514
gold-fish_4,0.695,0.643
gold-fish_5,0.789,0.696
horsejump-high_1,0.649,0.718
horsejump-high_2,0.227,0.486
india_1,0.564,0.456
india_2,0.416,0.334
india_3,0.502,0.366
judo_1,0.665,0.674
judo_2,0.628,0.598
kite-surf_1,0.150,0.092
kite-surf_2,0.001,0.006
kite-surf_3,0.369,0.540
lab-coat_1,0.000,0.000
lab-coat_2,0.000,0.000
lab-coat_3,0.410,0.395
lab-coat_4,0.440,0.400
lab-coat_5,0.344,0.343
libby_1,0.542,0.622
loading_1,0.674,0.542
loading_2,0.152,0.240
loading_3,0.558,0.577
mbike-trick_1,0.209,0.544
mbike-trick_2,0.529,0.568
motocross-jump_1,0.177,0.212
motocross-jump_2,0.082,0.144
paragliding-launch_1,0.703,0.757
paragliding-launch_2,0.207,0.508
paragliding-launch_3,0.011,0.053
parkour_1,0.497,0.537
pigs_1,0.440,0.521
pigs_2,0.381,0.526
pigs_3,0.864,0.729
scooter-black_1,0.102,0.216
scooter-black_2,0.201,0.320
shooting_1,0.159,0.324
shooting_2,0.632,0.586
shooting_3,0.687,0.877
soapbox_1,0.460,0.494
soapbox_2,0.069,0.296
soapbox_3,0.208,0.288
